-999 -999 -999    -1.81700 -999.00000    0.11011 -999.00000 -999.00000
-999 -999 -999     0.03300 -999.00000    0.12861 -999.00000 -999.00000
-999 -999 -999    -1.72500 -999.00000    0.14757 -999.00000 -999.00000
-999 -999 -999    -4.32100 -999.00000    0.15233 -999.00000 -999.00000
-999 -999 -999    -3.82500 -999.00000    0.15043 -999.00000 -999.00000
-999 -999 -999     1.12500 -999.00000    0.16681 -999.00000 -999.00000
-999 -999 -999     0.13300 -999.00000    0.19640 -999.00000 -999.00000
-999 -999 -999    -2.94600 -999.00000    0.21261 -999.00000 -999.00000
-999 -999 -999    -3.31700 -999.00000    0.21761 -999.00000 -999.00000
-999 -999 -999    -1.10000 -999.00000    0.22896 -999.00000 -999.00000
-999 -999 -999    -5.84200 -999.00000    0.23218 -999.00000 -999.00000
-999 -999 -999    -4.81200 -999.00000    0.22345 -999.00000 -999.00000
-999 -999 -999    -1.59200 -999.00000    0.22909 -999.00000 -999.00000
-999 -999 -999     1.32500 -999.00000    0.25521 -999.00000 -999.00000
-999 -999 -999     2.51700 -999.00000    0.29492 -999.00000 -999.00000
-999 -999 -999     2.39200 -999.00000    0.33809 -999.00000 -999.00000
-999 -999 -999     4.47100 -999.00000    0.38759 -999.00000 -999.00000
-999 -999 -999     4.10400 -999.00000    0.44258 -999.00000 -999.00000
-999 -999 -999     2.03300 -999.00000    0.48932 -999.00000 -999.00000
-999 -999 -999     4.89600 -999.00000    0.53854 -999.00000 -999.00000
-999 -999 -999     3.96700 -999.00000    0.59396 -999.00000 -999.00000
-999 -999 -999    -0.17100 -999.00000    0.63246 -999.00000 -999.00000
-999 -999 -999     2.66300 -999.00000    0.66659 -999.00000 -999.00000
-999 -999 -999     7.57100 -999.00000    0.72620 -999.00000 -999.00000
-999 -999 -999     3.81700 -999.00000    0.78934 -999.00000 -999.00000
-999 -999 -999     1.52500 -999.00000    0.83225 -999.00000 -999.00000
-999 -999 -999     1.09200 -999.00000    0.86605 -999.00000 -999.00000
-999 -999 -999     2.92500 -999.00000    0.90442 -999.00000 -999.00000
-999 -999 -999     8.61700 -999.00000    0.96750 -999.00000 -999.00000
-999 -999 -999     8.44200 -999.00000    1.04843 -999.00000 -999.00000
-999 -999 -999     1.14200 -999.00000    1.10426 -999.00000 -999.00000
-999 -999 -999     1.75400 -999.00000    1.13778 -999.00000 -999.00000
-999 -999 -999    -1.12900 -999.00000    1.16375 -999.00000 -999.00000
-999 -999 -999    -1.27900 -999.00000    1.17974 -999.00000 -999.00000
-999 -999 -999     0.41200 -999.00000    1.20088 -999.00000 -999.00000
-999 -999 -999     1.83300 -999.00000    1.23232 -999.00000 -999.00000
-999 -999 -999     1.96200 -999.00000    1.26880 -999.00000 -999.00000
-999 -999 -999     5.24200 -999.00000    1.31640 -999.00000 -999.00000
