-999 -999 -999     3.90000 -999.00000    2.06236 -999.00000 -999.00000
-999 -999 -999     2.00000 -999.00000    2.20180 -999.00000 -999.00000
-999 -999 -999     2.10000 -999.00000    2.30077 -999.00000 -999.00000
-999 -999 -999     2.80000 -999.00000    2.41288 -999.00000 -999.00000
-999 -999 -999     5.70000 -999.00000    2.59334 -999.00000 -999.00000
-999 -999 -999     6.40000 -999.00000    2.83911 -999.00000 -999.00000
-999 -999 -999     6.80000 -999.00000    3.09749 -999.00000 -999.00000
-999 -999 -999     7.10000 -999.00000    3.35995 -999.00000 -999.00000
-999 -999 -999     9.40000 -999.00000    3.66416 -999.00000 -999.00000
-999 -999 -999     9.00000 -999.00000    3.99431 -999.00000 -999.00000
-999 -999 -999    10.80000 -999.00000    4.33930 -999.00000 -999.00000
-999 -999 -999    11.00000 -999.00000    4.72181 -999.00000 -999.00000
-999 -999 -999    10.00000 -999.00000    5.08415 -999.00000 -999.00000
-999 -999 -999     9.80000 -999.00000    5.41605 -999.00000 -999.00000
-999 -999 -999     6.50000 -999.00000    5.66386 -999.00000 -999.00000
-999 -999 -999     4.80000 -999.00000    5.79076 -999.00000 -999.00000
-999 -999 -999     3.80000 -999.00000    5.85125 -999.00000 -999.00000
-999 -999 -999     2.50000 -999.00000    5.85672 -999.00000 -999.00000
-999 -999 -999     1.30000 -999.00000    5.80500 -999.00000 -999.00000
-999 -999 -999     2.10000 -999.00000    5.74869 -999.00000 -999.00000
-999 -999 -999     6.50000 -999.00000    5.81843 -999.00000 -999.00000
-999 -999 -999     9.90000 -999.00000    6.06947 -999.00000 -999.00000
-999 -999 -999     4.90000 -999.00000    6.27630 -999.00000 -999.00000
-999 -999 -999     6.50000 -999.00000    6.39466 -999.00000 -999.00000
-999 -999 -999    10.60000 -999.00000    6.65016 -999.00000 -999.00000
-999 -999 -999     9.00000 -999.00000    6.96210 -999.00000 -999.00000
-999 -999 -999     6.70000 -999.00000    7.16565 -999.00000 -999.00000
-999 -999 -999     6.70000 -999.00000    7.30221 -999.00000 -999.00000
-999 -999 -999     3.80000 -999.00000    7.35685 -999.00000 -999.00000
-999 -999 -999     1.90000 -999.00000    7.28164 -999.00000 -999.00000
-999 -999 -999     1.90000 -999.00000    7.16271 -999.00000 -999.00000
-999 -999 -999     2.00000 -999.00000    7.05658 -999.00000 -999.00000
-999 -999 -999     2.30000 -999.00000    6.96996 -999.00000 -999.00000
-999 -999 -999     1.90000 -999.00000    6.88829 -999.00000 -999.00000
-999 -999 -999     3.40000 -999.00000    6.84204 -999.00000 -999.00000
-999 -999 -999     3.40000 -999.00000    6.83891 -999.00000 -999.00000
-999 -999 -999     5.10000 -999.00000    6.88134 -999.00000 -999.00000
-999 -999 -999     6.90000 -999.00000    7.01334 -999.00000 -999.00000
-999 -999 -999     7.90000 -999.00000    7.21394 -999.00000 -999.00000
-999 -999 -999     7.60000 -999.00000    7.42663 -999.00000 -999.00000
-999 -999 -999     9.20000 -999.00000    7.66749 -999.00000 -999.00000
-999 -999 -999    10.80000 -999.00000    7.98884 -999.00000 -999.00000
-999 -999 -999    13.50000 -999.00000    8.42301 -999.00000 -999.00000
-999 -999 -999    15.70000 -999.00000    8.99200 -999.00000 -999.00000
-999 -999 -999    16.70000 -999.00000    9.65211 -999.00000 -999.00000
-999 -999 -999    17.00000 -999.00000   10.34811 -999.00000 -999.00000
-999 -999 -999    17.40000 -999.00000   11.06039 -999.00000 -999.00000
-999 -999 -999    18.50000 -999.00000   11.81750 -999.00000 -999.00000
-999 -999 -999    14.70000 -999.00000   12.45456 -999.00000 -999.00000
-999 -999 -999    12.50000 -999.00000   12.81912 -999.00000 -999.00000
-999 -999 -999    15.30000 -999.00000   13.18876 -999.00000 -999.00000
-999 -999 -999    19.00000 -999.00000   13.82685 -999.00000 -999.00000
-999 -999 -999    21.60000 -999.00000   14.73432 -999.00000 -999.00000
-999 -999 -999    20.20000 -999.00000   15.67644 -999.00000 -999.00000
-999 -999 -999    16.40000 -999.00000   16.29659 -999.00000 -999.00000
-999 -999 -999    12.60000 -999.00000   16.42911 -999.00000 -999.00000
-999 -999 -999    12.60000 -999.00000   16.32442 -999.00000 -999.00000
-999 -999 -999    10.60000 -999.00000   16.12026 -999.00000 -999.00000
-999 -999 -999    13.50000 -999.00000   16.00048 -999.00000 -999.00000
-999 -999 -999    13.60000 -999.00000   16.07076 -999.00000 -999.00000
-999 -999 -999    16.60000 -999.00000   16.31285 -999.00000 -999.00000
-999 -999 -999    18.30000 -999.00000   16.80607 -999.00000 -999.00000
-999 -999 -999    19.80000 -999.00000   17.45139 -999.00000 -999.00000
-999 -999 -999    19.00000 -999.00000   18.08841 -999.00000 -999.00000
-999 -999 -999    17.50000 -999.00000   18.51085 -999.00000 -999.00000
-999 -999 -999    19.50000 -999.00000   18.92054 -999.00000 -999.00000
-999 -999 -999    20.40000 -999.00000   19.49244 -999.00000 -999.00000
-999 -999 -999    19.40000 -999.00000   19.99040 -999.00000 -999.00000
-999 -999 -999    19.50000 -999.00000   20.35248 -999.00000 -999.00000
-999 -999 -999    19.90000 -999.00000   20.70357 -999.00000 -999.00000
-999 -999 -999    18.10000 -999.00000   20.88369 -999.00000 -999.00000
-999 -999 -999    17.10000 -999.00000   20.79496 -999.00000 -999.00000
-999 -999 -999    18.50000 -999.00000   20.76072 -999.00000 -999.00000
-999 -999 -999    17.40000 -999.00000   20.76136 -999.00000 -999.00000
-999 -999 -999    15.80000 -999.00000   20.53530 -999.00000 -999.00000
-999 -999 -999    14.30000 -999.00000   20.09955 -999.00000 -999.00000
-999 -999 -999    15.70000 -999.00000   19.75161 -999.00000 -999.00000
-999 -999 -999    14.90000 -999.00000   19.52319 -999.00000 -999.00000
-999 -999 -999    11.10000 -999.00000   18.98757 -999.00000 -999.00000
-999 -999 -999    11.40000 -999.00000   18.30818 -999.00000 -999.00000
